社群名,微信群名,当前群主,消息日期,消息时间,发言人微信昵称,发言文本内容
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:47:44,鲍小栋Ben,大家好，不好意思，因为刚临时开会，只能退出来了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:48:19,Udacity-Celia,嗯嗯没关系，你先忙你的~记得抽空吃饭啊
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:48:37,Udacity-Celia,可以回听录屏@小鲍-上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,19:48:46,鲍小栋Ben,好的
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:00:52,QT Chiu,请问为什么我进去teambition没有我的文件夹呀？是要自己copy过去吗？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:04:01,Francis,稍等我发二维码[呲牙]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:04:51,Francis,休息10分钟处理下视频就回战场[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:08:45,苏 南,这个吗
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:12:44,Francis,回来了回来了，对的
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:12:53,Francis,我发清晰的，稍等下
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:13:30,Francis,分组信息
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:13:51,Francis,TeamA
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:14:07,Francis,TeamB
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:15:27,QT Chiu,助教呀，我还是没在teamB里面看到我的任务列表
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:15:51,QT Chiu,这个任务列表是要自己cooy/建立出来的吗？
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:16:10,QT Chiu,连 folder都没见着…
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:18:25,Gin.,晚上回去要听录屏啦
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:18:58,刘畅Sunny,录屏在哪里可以找到呢
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:19:43,Francis,录屏要晚点，大概10点吧。正在处理视频文件，1.3g[捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:20:12,Francis,@仇倩婷 上海?我马上给你建，你来的晚一点[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:20:56,QT Chiu,其实就是copy吧？我自己也可以[皱眉]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:21:15,刘畅Sunny,好的，辛苦助教啦
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:21:40,Francis,@仇倩婷 上海?已经好了[嘿哈]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:23:16,苏 南,请问Udacity还有别的金融类的课程吗
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:24:48,Francis,没有特定的金融课程吧，数据分析就比较对口了。有好多项目都是先选数据集再做。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:25:09,QT Chiu,谢谢助教老师
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:25:53,Francis,我做过一个贷款公司风险评估的，如果偏向金融可以选那个。@苏楠 北京
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:26:22,Francis,@仇倩婷 上海?不客气，就是要按时完成哦[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:26:45,QT Chiu,??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:27:37,苏 南,选哪个
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:31:09,Francis,但其实分析方法差的不多
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,20:44:34,苏 南,哦哦。好的。谢谢
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,21:49:00,Udacity-Celia,感谢大家参与~~
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,21:53:40,Francis,@Udacity-Celia?感谢班主任老师??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,21:54:20,鲍小栋Ben,
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,21:54:39,鲍小栋Ben,课程现在开放了吗
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,21:56:15,Francis,还在弄[捂脸]优酷传了3遍审核不过…再想别的办法…大家再等我下
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:15:36,Udacity-Celia,大家都辛苦啦
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:15:40,Udacity-Celia,早点休息噢
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:20:31,Francis,大家可以安装下chrome，对uda的兼容性最好。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:21:15,Francis,另外，ppt已经放到teambituon里的，大家可以先看着。视频还在审核中[菜刀]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:22:19,秋然元悦,辛苦了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:23:45,Udacity-Celia,"@所有人，感谢大家今晚抽出时间参加开班仪式，超高兴认识大家，希望大家在7天内能够对数据分析整个流程有个宏观的概念，并着手完成一个数据分析项目！

助教大大已经帮助大家规划了每日导学，请戳https://www.teambition.com/projects进入“我参与的项目”获取和围观，还没有加入的同学请私戳助教获取加入链接～（PC端Chrome浏览器下体验更好）

为了确保项目完成后能够获得通关证书，请大家务必关注“优达学习助手”服务号，并在菜单栏绑定自己Udacity的注册账号，否则就没有通关证书啦！
教室明天开放，今天大家早点休息，晚安～"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:31:15,Francis,ppt发一下，teambition里我也加了，视频还在催，有了马上放出来
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:31:46,Udacity-Celia,老孟大大辛苦啦
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:32:27,Francis,同学们和班主任最辛苦，大家加油[鼓掌]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:32:49,登山看景,[强]，敬佩敬业精神。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:36:40,Francis,大家早点休息吧，如果晚点有了我就放出来，不@你们，不打扰你们夜生活[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:55:33,Gin.,辛苦啦！
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,22:56:07,Gin.,有夜生活可以被打扰就好了?? 坐等看视频
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,23:01:08,Francis,刚检查了还没审过[捂脸]可能要明天早上了。大家早点休息，养精蓄锐吧[阴险]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,23:13:58,Jester,跪求录屏[捂脸][捂脸]10点才下班到家
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/23 0:00:00,23:14:30,Jester,对不起班主任，一直没有时间看信息
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,00:09:12,Uda-Beauty,@Jester?明天会有的，辛苦了先早点休息，明天抓紧时间看，赶上进度！加油～晚安
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:13:24,Francis,https://www.bilibili.com/video/av23838287/
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:13:24,Francis,大家早上好啊[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:13:24,Francis,http://v.youku.com/v_show/id_XMzYyMjkxNjQwOA==.html?spm=a2h3j.8428770.3416059.1
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:13:24,Francis,亮的都通过了啦啦啦[调皮]。youku的密码是13572468
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:14:41,Francis,早起发到另一个群了。有点晕。大家准备好了么？10点就可以看到课程了[机智]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:15:59,Francis,今天的任务别忘了，争取完成前三节！加油??
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:17:02,夏秋冬春,已经可以看了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:18:23,Francis,[发呆]那大家在可以的时间加油看，有问题先搜索，再留言[得意]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,09:20:43,Mazzy,收到
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:02:37,Francis,刷不出这个图的看这张
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:03:09,Francis,大家加油，中午晚一点会发每日一题呦[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:10:04,QT Chiu,助教好，请问这个图是什么呀？我好像图片都刷不出来[捂脸]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:23:41,Udacity-Celia,@助教-老孟
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:24:21,Francis,收到，我去扒下来
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:26:41,Francis,下面不是课程内容的，可能是网页的小标识，不用管他。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:27:03,Francis,我的没这个
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:27:49,Francis,@仇倩婷 上海?还是建议安装chrome，和uda绝配。其他的浏览器有时候会有奇怪的问题。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,11:29:37,QT Chiu,好
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,12:38:09,Francis,大家好，应该差不多午休时间了。吃过午饭，给大家找点乐子，今天的每日一题如下[悠闲]：
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,12:39:41,Francis,请大家按照号进行回答，晚上会公布答案，大家看过16个小问题，也能学到不少。等着大家的精彩回答[鼓掌]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,13:27:28,QT Chiu,16:统计学中的中位数是指median，代表一个样本、种群或者概率分布当中的一个数值，这个数值可以把这一数据集平分成上下两部分。中位数的计算方式根据数据集的奇偶而略有不同。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,13:30:40,秋然元悦,15：什么是定类变量。定类变量又称“定类尺度”。根据定性的原则区分总体各个案类别的变量。设计定类变量的各个类别时，应当符合周延互斥性的原则，例如，性别分为男、女两类，它既概括了人的性别的全部类别，同时类别之间又具有互斥性。定类变量在形式上还具有对称性和传递性。所谓对称性，是指A对B的关系，亦即为B对A的关系。所谓传递性，即：如果A=B，并且B=C，那么A=C。结合起来就是如果A与B同类，则B与A也同类;如果A与B同类，并且B与C同类，则A与C必定同类
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,13:38:48,夏秋冬春,2 Pandas像是更强大灵活的Excel，能够处理大量的数据。pandas是Python强大又高效的数据分析工具包，该工具包是为了解决数据分析任务而创建的， 纳入了大量库和一些标准的数据模型，提供了高效地操作大型数据集所需的工具。最初由AQR Capital Management于2008年4月开发，并于2009年底开源出来，目前由专注于Python数据包开发的PyData开发team继续开发和维护。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:19:57,Udacity-Celia,都回答的好认真@胡圣 宁波 @秋然元悦 @仇倩婷 上海
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:19:59,Francis,[强]都好详细
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:20:33,Udacity-Celia,其他同学记得也来认领你的问题哦~~
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:33:21,Francis,@所有人 还没有认领任务的同学要赶快思考哦。今天的任务看的怎么样了？[悠闲]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:34:05,Mazzy,"python当中的out_columns=['No','year','mouth','day'],请问我打印out_columns,接下来会显示内容：
No,
year,
mouth,
day,"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:34:50,Mazzy,不知道对否??完全没经验
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:47:12,💍＇徐徐徐雯佳,"6: CSV"" 是逗号分隔文件 (Comma Separated Values) 的首字母英文缩写，是一种用来存储数据的纯文本格式，通常用于电子表格或数据库软件。在 CSV 文件中，数据“栏”以逗号分隔，可允许程序通过读取文件为数据重新创建正确的栏结构，并在每次遇到逗号时开始新的一栏。"
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:51:01,Udacity-Celia,雯佳很棒喔~~昨天听你讲才入门，问题已经回答的很好啦！说明有花了心思去查询。搜索能力一级棒[鼓掌]@徐雯佳 海口
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:52:49,💍＇徐徐徐雯佳,[害羞][害羞]还要再接再厉，
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,14:59:08,Francis,@Mazzy 上海?悄悄的告诉你，这个可以在项目里的环境试一下。打印的是out_columns ，这是一个列表。[调皮]
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:01:22,Francis,@所有人 大家加油，我分享个之前写的简介
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:01:54,Pearl,好的老师收到了  等下在群里回答
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:03:09,Mazzy,好的@助教-老孟?打印列表我理解??Print出来的内容就不懂了
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:04:27,Francis,上面的文档，出现代码之后就不用看了，是周六开放课的checklist
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:05:14,Francis,@Mazzy 上海?实际上打印list的话，每个成分不会换行的。
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:06:57,Francis,@Mazzy 上海?下面的是输出
正式学员群-数据分析,【老孟班】5.24数据分析入门试学,Francis,2018/5/24 0:00:00,15:07:27,Mazzy,"16.python当中的out_columns=['No','year','mouth','day'],请问我打印out_columns,接下来会显示内容：
[No,year,mouth,day]"
